page_a,page_b,similarity_score,shared_phrases,recommendation
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-automation-agency/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-automation-solutions/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-sales-automation/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-workflow-automation/,1.00,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-automation-tools/,1.00,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-task-automation/,1.00,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-automation-software/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-workflow-automation-tools/,1.00,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-accounting-automation/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-for-workflow-automation/,1.00,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-compliance-automation/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-contract-automation/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-automation-consultant/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-and-automation-in-hr/,1.00,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/agentic-ai-automation/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-process-automation/,1.00,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-automation-in-insurance/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-automation-consulting/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-agent-workflow-automation/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-email-automation/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/best-ai-sales-automation-tools/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-recruiting-automation/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/sales-automation-ai/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/task-automation-ai/,1.00,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-automation-in-healthcare/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-document-automation/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/best-ai-sales-automation-software/,0.96,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-sales-automation-tools/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-agents-automation/,0.98,token overlap,review or consolidate
/ai-automation/business-process-automation-with-ai/,/ai-automation/ai-workflow-automation-tools-for-medical-office/,0.96,token overlap,review or consolidate
